,Latitude,Longitude
"Primorska, Slovenia",45.52972555,13.664019681876102
"Jumilla, Levante, Spain",38.4740804,-1.3262211
"Brda, Slovenia",46.0162019,13.548910233619523
"Friuli, Northeastern Italy, Italy",,
"Lake County, California, US",39.0505411,-122.7776556
"Viile Carasului, Romania",,
"Grand Valley, Colorado, US",40.0990074,-106.1366966
"Mendoza, Mendoza Province, Argentina",-51.6121723,-69.2241958
"Ceres Plateau, South Africa",,
"Río Negro Valley, Other, Argentina",,
"Anderson Valley, Mendocino County, California, US",39.0600021,-123.4305338
"Fort Ross-Seaview, Sonoma, California, US",38.5571348,-123.2644524
"Patagonia, Other, Argentina",,
"Tikves, Macedonia",41.9940075,21.4394921
"Calistoga, Napa, California, US",38.5787966,-122.5797054
"Simonsberg-Stellenbosch, South Africa",-33.883948,18.9271246
"Zenata, Morocco",33.60377995,-7.382675697468085
"Temecula, South Coast, California, US",,
"Pemberton, Western Australia, Australia",-34.4441275,116.0346584
"Klein River, South Africa",-33.4634561,22.5111929
"Mount Veeder, Napa, California, US",38.3793566,-122.4477575
"Vin de Pays de L'Herault, Languedoc-Roussillon, France",,
"Pageon, Greece",,
"Aconcagua, Chile",-32.8846684,-71.2640583
"San Juan, Other, Argentina",,
"Barossa Valley, South Australia, Australia",-34.581713199999996,138.99878719802487
"New South Wales, New South Wales, Australia",-33.8737539,151.2095867
"Stellenbosch, South Africa",-33.934444,18.869167
"Sicilia, Sicily & Sardinia, Italy",,
"Südsteiermark, Austria",46.774124,15.667152141167598
"Lison-Pramaggiore, Veneto, Italy",45.7788246,12.7367108
"Blaye Côtes de Bordeaux, Bordeaux, France",,
"Rapel Valley, Chile",-34.14103015,-71.4357698956733
"Styria, Austria",47.2500001,15.1666665
"Walla Walla Valley (WA), Columbia Valley, Washington, US",,
"Atacama Valley, Chile",-27.5571783,-70.0156882
"Terras do Dão, Portugal",41.719337749999994,-8.308758284624314
"North Coast, North Coast, California, US",,
"Idaho, Idaho, US",45.7680684,-115.5160723
"Columbia Valley (WA), Columbia Valley, Washington, US",46.2263431,-119.22738743269724
"Trás-os-Montes, Portugal",41.59298595,-6.7288269232895885
"Collio, Northeastern Italy, Italy",,
"Michigan, Michigan, US",42.33136,-83.0520837
"Cape South Coast, South Africa",-28.077321249999997,153.4171431679907
"Judean Hills, Israel",,
"Pouilly-Fumé, Loire Valley, France",,
"Cortona, Tuscany, Italy",43.2752976,11.9850623
"Awatere Valley, New Zealand",-41.8529115,173.6964424
"Dealu Mare, Romania",46.7202291,23.1579285
"Orange, New South Wales, Australia",-33.2820463,149.0971567
"San Antonio-Maipo Valley, Chile",-33.7393675,-71.006138
"Clear Lake, Lake County, California, US",39.0319478,-122.79947762463578
"Colchagua Costa, Chile",,
"Côtes du Marmandais, Southwest France, France",44.5130976,0.1352266
"Santa Barbara County, Central Coast, California, US",,
"Touraine Chenonceaux, Loire Valley, France",,
"Romania, Romania",45.9852129,24.6859225
"Côtes du Tarn, Southwest France, France",44.2365873,1.7689625
"Loncomilla Valley, Chile",-35.823574,-71.8272471
"Upper Hemel en Aarde Valley, South Africa",,
"Black Sea Coastal, Bulgaria",,
"McLaren Vale, South Australia, Australia",-35.2172617,138.5416998
"North Canterbury, New Zealand",-43.49417615,171.8098447584145
"Neuquén, Other, Argentina",-38.9521287,-68.2279629
"Leyda Valley, Chile",-33.6121783,-71.4508924
"Charentais, France Other, France",,
"Amador County, Sierra Foothills, California, US",,
"Toscana, Tuscany, Italy",43.7215969,10.3969338
"Valais, Switzerland",46.2303063,7.6605757
"Hemel en Aarde, South Africa",-34.4115921,19.206177681612516
"Languedoc, Languedoc-Roussillon, France",,
"Buenos Aires, Other, Argentina",-34.7165244,-58.275414
"Swartland-GroeneKloof, South Africa",,
"Sonoma Mountain, Sonoma, California, US",38.3229698,-122.5749837
"Sonoma County-Napa County, Napa-Sonoma, California, US",38.168540300000004,-122.3306377262485
"Waipara Valley, New Zealand",-43.058482,172.7602403
"Canelones, Uruguay",-34.6222482,-55.9903797
"Clarksburg, Central Valley, California, US",38.4204651,-121.5271772
"San Bernabe, Central Coast, California, US",,
"Hawke's Bay, New Zealand",-39.4343279,176.7652742
"Malleco, Chile",-37.7960595,-72.6516866
"Elgin, South Africa",-34.1486111,19.0427778
"St. Helena, Napa, California, US",38.5052288,-122.4700424
"Wagram, Austria",48.2432231,14.2311332
"Carneros, Napa-Sonoma, California, US",,
"Currency Creek, South Australia, Australia",-35.4525549,138.7598074
"Friuli Venezia Giulia, Northeastern Italy, Italy",,
"Alentejano, Portugal",38.8420973,-7.5871415
"Negev Hills, Israel",30.9247487,34.7196507
"Southern Oregon, Southern Oregon, Oregon, US",,
"Stags Leap District, Napa, California, US",,
"Eden Valley, South Australia, Australia",-34.6666979,139.12996486291587
"Drama, Greece",41.1499443,24.1468286
"Rattlesnake Hills, Columbia Valley, Washington, US",,
"Wrattonbully, South Australia, Australia",-37.1677831,140.9458691
"Northern Sonoma, Sonoma, California, US",38.5177297,-122.9738437
"Tupungato, Mendoza Province, Argentina",-38.9809013,-67.841087
"Sauvignon, Sauvignon Blanc",,
"Molina, Chile",-35.1139703,-71.2799798
"Premieres Côtes de Blaye, Bordeaux, France",,
"Walker Bay, South Africa",-34.5563889,19.3416667
"King Valley, Victoria, Australia",-36.694793,146.4082840631994
"Mendoza Province, Argentina",-51.6125884,-69.2245606
"Santa Margarita Ranch, Central Coast, California, US",,
"Ribbon Ridge, Willamette Valley, Oregon, US",,
"Ancient Lakes, Columbia Valley, Washington, US",,
"Nelson, New Zealand",-41.2710849,173.2836756
"Moldova, Moldova",47.2879608,28.5670941
"Coteaux du Giennois, Loire Valley, France",47.6831795,2.6534443
"Vin de Pays du Comté Tolosan, Southwest France, France",,
"Frankland River, Western Australia, Australia",-34.3607322,117.0801807
"Friuli Isonzo, Northeastern Italy, Italy",,
"Sonoma Coast, Sonoma, California, US",38.4243975,-123.0883292433611
"Arroyo Seco, Central Coast, California, US",,
"Aconcagua Valley, Chile",-32.7506976,-70.7252018
"Sainte-Foy Bordeaux, Bordeaux, France",44.8489497,-0.5728811
"Monterey, Central Coast, California, US",33.603876,-117.831697
"Central Valley, Chile",-31.7613365,-71.3187697
"Santa Clara Valley, Central Coast, California, US",,
"Viile Timisului, Romania",,
"Sierra Foothills, Sierra Foothills, California, US",,
"Philadelphia, South Africa",-33.666635,18.580989
"New Zealand, New Zealand",-41.5000831,172.8344077
"Lake County-Mendocino County, North Coast, California, US",,
"Fiddletown, Sierra Foothills, California, US",,
"Saint-Bris, Burgundy, France",,
"Paso Robles, Central Coast, California, US",,
"Cahul, Moldova",45.9044087,28.1946583
"Napa-Carneros, Napa, California, US",,
"San Antonio, Chile",-33.5808615,-71.6132377
"Paso Robles Willow Creek District, Central Coast, California, US",,
"Spring Mountain District, Napa, California, US",38.30918844999999,-122.29722454465117
"Marlborough, New Zealand",-41.47447475,173.8330262577606
"Jidvei, Romania",46.2224475,24.1106119
"Epanomi, Greece",40.4280217,22.928308
"South Styria, Austria",47.065556,15.4518867
"Côtes du Lot, Southwest France, France",44.1627145,0.7149321
"Recas, Romania",45.8017074,21.5092923
"Mendocino-Lake, North Coast, California, US",39.408360599999995,-123.81565071129248
"Israel, Israel",31.5313113,34.8667654
"Langhe, Piedmont, Italy",,
"Solano County, North Coast, California, US",,
"Cachapoal Valley, Chile",-34.2769956,-70.75947784548292
"Steiermark, Austria",47.2500001,15.1666665
"South Africa, South Africa",-28.8166236,24.991639
"Potter Valley, Mendocino County, California, US",39.315214600000004,-123.11246387038575
"Val de Loire, Loire Valley, France",45.4399177,4.3878221
"Utiel-Requena, Levante, Spain",39.5229289,-1.1495788
"Goriska Brda, Slovenia",45.9997652,13.5310028
"Vigneti delle Dolomiti, Northeastern Italy, Italy",,
"Murfatlar, Romania",44.1742796,28.4107956
"Bordeaux Blanc, Bordeaux, France",44.8899422,-0.503907
"Coastal Region, South Africa",12.2573024,121.9907018
"Côtes de Gascogne, Southwest France, France",,
"Bulgaria, Bulgaria",42.6073975,25.4856617
"Mornington Peninsula, Victoria, Australia",-38.243314999999996,145.08854316331724
"Shomron, Israel",32.42070065,35.17222662647339
"Robertson, South Africa",-33.802222,19.883611
"Leyda Valley-Maipo Valley, Chile",,
"Vin de Pays du Jardin de la France, Loire Valley, France",,
"Croatia, Croatia",45.5643442,17.0118954
"Puget Sound, Washington Other, Washington, US",,
"Guenoc Valley, Lake County, California, US",38.715889,-122.487891
"Darling, South Africa",-33.376426,18.379189
"Napa County, Napa, California, US",38.2971367,-122.2855293
"Venezia Giulia, Northeastern Italy, Italy",,
"Alexander Valley, Sonoma, California, US",38.6712308,-122.8278697
"Beotia, Greece",,
"Florina, Greece",40.7794738,21.4076115
"Sonoma County, Sonoma, California, US",38.285056,-122.4212575
"Swartland, South Africa",-33.29356,18.599382501779992
"Western Australia, Western Australia, Australia",-31.9089876,115.80589464305403
"Durbanville, South Africa",-33.8402778,18.6494444
"Quincy, Loire Valley, France",47.133365,2.1574605
"Long Island, Long Island, New York, US",40.85149705,-73.0994258107431
"Mendocino, Mendocino County, California, US",39.3076744,-123.7994591
"Cape Agulhas, South Africa",-34.8332036,19.9999325
"Upper Galilee, Israel",31.9588462,35.1379413
"Bergerac Sec, Southwest France, France",44.9027098,-0.2211402
"Calaveras County, Sierra Foothills, California, US",,
"Monferrato, Piedmont, Italy",,
"Dry Creek Valley, Sonoma, California, US",38.7106888,-122.9830138
"Franschhoek, South Africa",-33.909167,19.119444
"Castel del Monte, Southern Italy, Italy",,
"Adelaide, South Australia, Australia",-34.9281805,138.5999312
"Vânju Mare, Romania",44.4250326,22.8712672
"Colli Orientali del Friuli, Northeastern Italy, Italy",,
"Umpqua Valley, Southern Oregon, Oregon, US",,
"Lutzville Valley, South Africa",-31.5591667,18.3438889
"Península de Setúbal, Portugal",38.6272781,-8.929688654264213
"Greece, Greece",38.9953683,21.9877132
"Württemberg, Germany",48.7820489,9.2687566
"Blanc Fumé de Pouilly, Loire Valley, France",,
"Santa Cruz Mountains, Central Coast, California, US",,
"San Francisco Bay-Livermore Valley, Central Coast, California, US",,
"Edna Valley, Central Coast, California, US",,
"La Mancha, Central Spain, Spain",39.0174355,-3.7490935886475807
"Morocco, Morocco",31.1728205,-7.3362482
"Central Otago, New Zealand",-45.1299859,169.5248818
"Wairau Valley, New Zealand",-41.5635411,173.5314071
"Atalanti Valley, Greece",38.6532986,23.0001058
"Tejo, Portugal",38.7183138,-9.1436503
"Monticello, Virginia, US",38.01031385,-78.45236719129173
"Goudini, South Africa",-33.6666667,19.2583333
"Maule Valley, Chile",-35.5972284,-71.48868
"Livermore Valley, Central Coast, California, US",,
"South Eastern Australia, Australia Other, Australia",,
"Veneto Orientale, Veneto, Italy",45.7635231,12.9933925
"Wellington, South Africa",-33.643055,19.010556
"Lake County-Napa County, North Coast, California, US",,
"Lolol Valley, Chile",-34.727836,-71.6440839
"Colorado, Colorado, US",39.602187,-104.79078572071992
"Rheinhessen, Germany",49.9045181,8.2711082
"Štajerska, Slovenia",46.368163,14.56734
"Willamette Valley, Willamette Valley, Oregon, US",45.34631185,-122.65378012050269
"Sonoma County-Lake County, North Coast, California, US",,
"Columbia Valley (OR), Oregon Other, Oregon, US",,
"Nevada County, Sierra Foothills, California, US",,
"Oregon, Oregon Other, Oregon, US",,
"Curicó Valley, Chile",-34.985368,-71.2393705
"Dunnigan Hills, Central Valley, California, US",,
"Valle de Guadalupe, Mexico",21.042653299999998,-102.67986462733046
"Oakville, Napa, California, US",38.4368549,-122.4022007
"Canterbury & Marlborough, New Zealand",-41.2980201,174.0024706
"Salta, Other, Argentina",,
"Rogue Valley, Southern Oregon, Oregon, US",,
"Idaho, US",43.6447642,-114.015407
"Rutherford, Napa, California, US",38.458521,-122.422479
"Horse Heaven Hills, Columbia Valley, Washington, US",,
"Rueda, Northern Spain, Spain",,
"Sebes, Romania",45.9591058,23.5699265
"Washington, Washington Other, Washington, US",,
"Okanagan Valley, British Columbia, Canada",49.9527193,-119.4424386
"Cafayate, Other, Argentina",,
"Argentina, Other, Argentina",,
"Applegate Valley, Southern Oregon, Oregon, US",,
"Uruguay, Uruguay",-32.8755548,-56.0201525
"Chalk Hill, Sonoma, California, US",38.6037982,-122.7772125
"Lake County-Sonoma County, North Coast, California, US",,
"Ballard Canyon, Central Coast, California, US",,
"Penedès, Catalonia, Spain",41.2887629,1.5896994
"Columbia Gorge (WA), Washington Other, Washington, US",,
"Vin de Pays du Val de Loire, Loire Valley, France",,
"Sancerre, Loire Valley, France",47.3307251,2.8390333
"Friuli Aquileia, Northeastern Italy, Italy",,
"Chile, Chile",-31.7613365,-71.3187697
"Omaka Valley, New Zealand",-41.5409691,173.92384513408103
"Veneto, Veneto, Italy",45.437878,10.7543423
"Santa Maria Valley, Central Coast, California, US",,
"Happy Canyon of Santa Barbara, Central Coast, California, US",,
"Western Cape, South Africa",-33.546977,20.72753
"Sonoma Valley, Sonoma, California, US",38.285056,-122.4212575
"Aconcagua Costa, Chile",-41.3246965,-72.9816843
"Nashik, India",20.0112475,73.7902364
"Graves, Bordeaux, France",44.7760791,-0.6523275464905922
"Mendocino Ridge, Mendocino County, California, US",39.3076744,-123.7994591
"Redwood Valley, Mendocino County, California, US",39.2654449,-123.2044496
"Algarve, Portugal",37.2454248,-8.150925273079235
"Napa-Sonoma, Napa-Sonoma, California, US",38.540524149999996,-122.54835743348914
"San Diego County, South Coast, California, US",,
"Seneca Lake, Finger Lakes, New York, US",,
"Australia, Australia Other, Australia",,
"San Luis Obispo, Central Coast, California, US",,
"Yakima Valley, Columbia Valley, Washington, US",46.2433638,-119.2634697
"Vin de Pays des Côtes de Gascogne, Southwest France, France",,
"Los Carneros, Napa-Sonoma, California, US",,
"Atlas Peak, Napa, California, US",38.4507431,-122.2627529
"Capay Valley, Central Valley, California, US",39.7965477,-122.084428
"British Columbia, British Columbia, Canada",49.2874686,-123.1195789
"Marche, Central Italy, Italy",43.4496897,13.39345
"Texas, Texas, US",32.7563057,-97.0713679
Sauvignon Blanc,-32.986198,-68.855946
"Vulkanland Steiermark, Austria",47.0499857,16.078031
"Juanico, Uruguay",-34.5952681,-56.2552383
"Curicó and Leyda Valleys, Chile",,
"Canterbury, New Zealand",-43.49417615,171.8098447584145
"Thracian Valley, Bulgaria",42.6257742,25.3991715107491
"Suisun Valley, North Coast, California, US",,
"Russian River Valley, Sonoma, California, US",38.4756442,-123.0259048
"Montravel, Southwest France, France",44.8599738,0.0533919
"Chiles Valley, Napa, California, US",38.4990564,-122.3516666
"South Island, New Zealand",-43.586562,171.21232939964904
"America, US",33.737886,-87.2525024
"Trentino, Northeastern Italy, Italy",,
"East Coast, New Zealand",-38.2511249,178.1489099
"Entre-Deux-Mers, Bordeaux, France",44.8454885,-0.5328314
"Côtes de Bourg, Bordeaux, France",,
"Salento, Southern Italy, Italy",,
"Burgenland, Austria",47.5000001,16.4166666
"Cape Point, South Africa",-34.3573947,18.4977883
"Luján de Cuyo, Mendoza Province, Argentina",-34.5009474,-58.7449228
"Austral Region, Chile",-54.9368509,-67.6111785
"Martinborough, New Zealand",-41.2183252,175.4594856
"Rio Claro, Chile",-35.294471,-71.2577016595334
"Shenandoah Valley (CA), Sierra Foothills, California, US",,
"Adelaida District, Central Coast, California, US",,
"Simonsberg-Paarl, South Africa",,
"Colline Teatine, Central Italy, Italy",,
"Friuli Grave, Northeastern Italy, Italy",,
"Santa Barbara, Central Coast, California, US",,
"Central Victoria, Victoria, Australia",-37.8326622,144.9567877
"Slovenia, Slovenia",45.8133113,14.4808369
"Casablanca Valley, Chile",-33.3205864,-71.4100762
"California, California Other, California, US",,
"Constantia, South Africa",-34.0283333,18.4155556
"Pays de Loire, Loire Valley, France",48.0740778,-0.7627487
"Danube River Plains, Bulgaria",,
"Humboldt County, North Coast, California, US",,
"North Fork of Long Island, Long Island, New York, US",,
"Gippsland, Victoria, Australia",-37.87437,146.91145036930226
"Menetou-Salon, Loire Valley, France",47.2315397,2.4886282
"Sta. Rita Hills, Central Coast, California, US",,
"Washington-Oregon, US",44.0592656,-121.3565315
"Vino de la Tierra de Castilla y León, Northern Spain, Spain",,
"Sonoma, Sonoma, California, US",38.285056,-122.4212575
"Alto Adige, Northeastern Italy, Italy",,
"Elqui Valley, Chile",-29.77317585,-70.61584296149404
"Snipes Mountain, Columbia Valley, Washington, US",,
"Niederösterreich, Austria",48.2817813,15.7632457
"Coombsville, Napa, California, US",38.2974731,-122.2695614
"Carso, Northeastern Italy, Italy",,
"Pays d'Oc, Languedoc-Roussillon, France",,
"San Francisco Bay, Central Coast, California, US",,
"Vin de Pays d'Oc, Languedoc-Roussillon, France",,
"Yolo County, Central Valley, California, US",,
"Moravia, Czech Republic",49.2201995,16.5189757
"Lenswood, South Australia, Australia",-34.920215,138.8284007
"Venezie, Northeastern Italy, Italy",,
"Alto Adige Valle Isarco, Northeastern Italy, Italy",,
"High Valley, Lake County, California, US",39.0518681,-122.6883413
"Atlantique, France Other, France",,
"Ica, Peru",-14.338611,-75.648333
"Carmel Valley, Central Coast, California, US",,
"Cederberg, South Africa",-32.5005556,19.2569444
"Mendocino County, Mendocino County, California, US",39.3076744,-123.7994591
"Lake County, Lake County, California, US",39.0505411,-122.7776556
"Buzet, Southwest France, France",43.7096644,-0.8313243
"Los Olivos District, Central Coast, California, US",,
"Australia-New Zealand, Australia Other, Australia",,
"Maipo Valley, Chile",-33.7560342,-70.71404444099454
"Côtes de Bordeaux, Bordeaux, France",44.779179,-0.4610873
"Pessac-Léognan, Bordeaux, France",,
"Sauvignon de St-Bris, France Other, France",,
"Pine Mountain-Cloverdale Peak, Sonoma, California, US",38.8490244,-122.9944467
"Breede River Valley, South Africa",-33.7635667,19.5966724
"Niagara Peninsula, Ontario, Canada",45.1515368,-81.3355078
"Lontué Valley, Chile",-35.0549065,-71.2745634
"Great Southern, Western Australia, Australia",-34.9478387,117.9724444
"Langhorne Creek, South Australia, Australia",-35.295938,139.0364451
"Wachau, Austria",48.3275563,15.41162578949626
"Vin de France, France Other, France",,
"Uco Valley, Mendoza Province, Argentina",-50.3383621,-72.2609527
"Cape Peninsula, South Africa",-34.2148808,18.4109938
"Oak Knoll District, Napa, California, US",,
"Pfalz, Germany",51.90263795,10.424768531182796
"Isonzo del Friuli, Northeastern Italy, Italy",,
"Tasmania, Tasmania, Australia",-42.9070652,147.32148477624992
"San Jose, Uruguay",-34.455,-56.616944
"Kremstal, Austria",47.9263917,14.0780469
"Napa County-Sonoma County, Napa-Sonoma, California, US",38.540524149999996,-122.54835743348914
"Groenekloof, South Africa",-29.5520465,30.2981535
"Howell Mountain, Napa, California, US",38.5812999,-122.4510974
"Colli Piacentini, Central Italy, Italy",,
"Santa Ynez Valley, Central Coast, California, US",,
"South Australia, South Australia, Australia",-34.920630700000004,138.60396883837132
"Yorkville Highlands, North Coast, California, US",,
"Adelaide Hills, South Australia, Australia",-34.901351649999995,138.8293202817461
"Fair Play, Sierra Foothills, California, US",,
"New York, New York Other, New York, US",,
"Arroyo Grande Valley, Central Coast, California, US",,
"Vipavska Dolina, Slovenia",45.942126,13.640288
"Elim, South Africa",-23.1597507,30.0604292
"Coonawarra, South Australia, Australia",-37.2909105,140.8346628
"Knights Valley, Sonoma, California, US",38.6434863,-122.7463047
"Paarl, South Africa",-33.741667,18.975
"Paardeberg, South Africa",-28.9737214,25.0862166
"Napa Valley, Napa, California, US",38.2971367,-122.2855293
"Red Mountain, Columbia Valley, Washington, US",38.894861,-77.04018367602214
"Côtes de Duras, Southwest France, France",,
"Transylvania, Romania",46.5971623,24.3740295
"Yountville, Napa, California, US",38.4022008,-122.3595063
"Elkton Oregon, Southern Oregon, Oregon, US",,
"New Jersey, US",40.0757384,-74.4041622
"Neszmély, Hungary",47.7357694,18.3654526
"Sonoma-Napa, Napa-Sonoma, California, US",38.168540300000004,-122.3306377262485
"Yamhill-Carlton, Willamette Valley, Oregon, US",,
"Yarra Valley, Victoria, Australia",-37.7295526,145.4981195
"El Dorado, Sierra Foothills, California, US",,
"Yecla, Levante, Spain",,
"Vino de la Tierra de Castilla, Central Spain, Spain",,
"Mokelumne River, Central Valley, California, US",38.3180444,-120.6928231
"Limarí Valley, Chile",-30.8214372,-70.98710763829716
"Haut-Poitou, Loire Valley, France",47.1592878,-0.0153828
"Galilee, Israel",31.9588462,35.1379413
"Leelanau Peninsula, Michigan, US",,
"South Coast, South Coast, California, US",,
"Gladstone, New Zealand",-46.39204,168.3555099
"Carnuntum, Austria",48.11096895,16.856701752148087
"Wairarapa, New Zealand",-41.23617985,175.2196901910179
"Central Coast, Central Coast, California, US",-33.3107798,151.4350326
"Forlì, Central Italy, Italy",44.2125286,12.2493054
"Lake Chelan, Columbia Valley, Washington, US",,
"Delle Venezie, Northeastern Italy, Italy",,
"Wahluke Slope, Columbia Valley, Washington, US",,
"Colchagua Valley, Chile",-34.682240050000004,-71.0543245971374
"Bennett Valley, Sonoma, California, US",38.4254354,-122.6649553
"Navarra, Northern Spain, Spain",,
"Willow Creek, North Coast, California, US",,
"Touraine, Loire Valley, France",47.2407178,-1.5081924837424987
"Green Valley, Sonoma, California, US",,
"Finger Lakes, Finger Lakes, New York, US",,
"Outer Coastal Plain, New Jersey, US",,
"Columbia Gorge (OR), Oregon Other, Oregon, US",,
"Casablanca-Curicó Valley, Chile",-35.0769,-71.2589737
"Alto Adige Terlano, Northeastern Italy, Italy",,
"Alto Valle del Río Negro, Other, Argentina",,
"Pennsylvania, Pennsylvania, US",39.9493382,-75.18964402998125
"San Luis Obispo County, Central Coast, California, US",,
"Bío Bío Valley, Chile",-37.3391407,-72.4106825
"Duriense, Portugal",38.7319127,-9.1500843
"Lisboa, Portugal",38.7077507,-9.1365919
"Lake Erie North Shore, Ontario, Canada",,
"Waipara, New Zealand",-43.058482,172.7602403
"Margaret River, Western Australia, Australia",-33.9531776,115.0769369
"Südoststeiermark, Austria",46.85967165,15.850364747446001
"Alpine Valleys, Victoria, Australia",-36.1691304,148.0248925
"Middleburg, Virginia, US",38.9690189,-77.7355056
"Victoria, Victoria, Australia",-21.2309116,148.9741517
"Temecula Valley, South Coast, California, US",,
"Aegean, Turkey",38.01430255,28.481667904849914
"Jonkershoek Valley, South Africa",-33.9699764,18.94706728593237
"Virginia, Virginia, US",37.3197653,-121.8901257
"Kumeu, New Zealand",-36.7753095,174.5546604
"Friuli Colli Orientali, Northeastern Italy, Italy",,
"Monterey County, Central Coast, California, US",,
"Cayuga Lake, Finger Lakes, New York, US",,
"Red Hills, Lake County, California, US",38.9267152,-122.7416457
"Eola-Amity Hills, Willamette Valley, Oregon, US",,
"Lodi, Central Valley, California, US",38.092239500000005,-121.38984593366523
"Reuilly, Loire Valley, France",47.0851206,2.0434337
"Tarnave, Romania",46.2080514,24.5446356
"Maipú, Mendoza Province, Argentina",-46.4470486,-67.5117595
